834817|2020-08-13 09:27:16|Manutenção nos equipamentos de comunicação,afim de evitar falha de comunicação com ONS.
834887|2020-08-13 13:25:05|Realizar alteração na configuração do FOX principal e alternado, referente aos ativos da LMTE.
834977|2020-08-13 17:45:55|Acessante TJMM  Cymi, e contratadas, com o acompanhamento da CHESF realizarão a substituição da proteção diferencial de barras 230 kV para possibilitar a Integração dos novos bays 04N2  04N3 às BARRAS 04B1  04B2 da SE IGAPORÃ III - IGT.
835020|2020-08-14 08:18:40|Verificar e sanar falha na partida do Gae Principal   2 - Ensaios operacionais.
835099|2020-08-14 11:52:52|Substituição de placa transponder do sistema ótico IPG modelo TXP STM XF, serviço a ser executado na repetidora 06 - Pedra Petra - MT
835200|2020-08-14 16:03:55|Instalação da infraestrutura do sistema de supervisório SAGE para ampliação etapa do autotransformador TR2.
835217|2020-08-14 16:40:39|Inspeção,no circuito 16W2 apresentou RUÍDO ANORMAL.
835303|2020-08-15 15:47:27|às 14h28min houve abertura dos disjuntores de 12KV de Mangueira III comprometendo mais de 10% da geração do Conjunto Eólico Marmeleiro 2, a equipe de campo se deslocou até o local para inspeção na LT.
835333|2020-08-16 10:25:26|Verificar e sanar falha de comunicação com a remota da SE João Monlevade 2.
835429|2020-08-17 11:39:38|Teste de integração do novo sistema de supervisão local para comissionamento do Vão 4P. Download eventual nos gateways e  ou Remota D200 durante testes.
835568|2020-08-17 20:12:36|MANUTENÇÃO CORRETIVA NO SISTEMA DE SUPERVISÃO E CONTROLE DA SE SIDROLÂNDIA 2.
835574|2020-08-17 21:08:15|MIGRAÇÃO DOS CANAIS DE VOZ HOTLINE (1 e 2) COM O COSR-SE,  DA SEDE ANTIGA PARA NOVA SEDE DA CELEO REDES.
835606|2020-08-18 10:07:01|INSTALAÇÃO DA ALIMENTAÇÃO REDUNDANTE (FONTE SEGURA), PARA O DATA CENTER DA USINA.
835624|2020-08-18 10:53:31|ADEQUAÇÕES NA BASE DE DADOS DAS UAC 5 ( VÃO UG01) E UAC 7 (VÃO UG03).
835649|2020-08-18 11:38:41|Reinstalação de módulos de comunicação (TS) nos painéis IHM 1 e 2 para permitir redundância no sistema de supervisão SAGE (local  COT)   2  Testes de falha em PCs gateways para verificação da redundância do sistema.
835782|2020-08-18 19:30:32|Teste de subida de pontos do bay de ILS-II para o SAGE e COT  Configuração da Base de Dados da UTR  em JAL  Implementação da nova base na UTR STD.
835783|2020-08-18 19:49:13|MANUTENÇÃO PROGRAMADA CORRETIVA DA ALGAR TELECOM NO CANAL DE COMUNICAÇÃO QUE ATENDE O COSR-S.
835833|2020-08-19 09:58:25|RESET FISICO DO RADIO SRAL. RÁDIO PDH - SRAL XD - SIEMENS - ALARME DE   R CHANNEL ALARM ON   (INTEROPERABILIDADE ENTRE RÁDIOS SRAL) NO RÁDIO FRBH-02, E CONSEQUENTE FALHA DE GERENCIAMENTO E SUPERVISÃO DOS RÁDIOS FRAL-01 E FRAL-02 (CAMPO ALEGRA) E ERII-01 (IPAMERÍ).
835839|2020-08-19 10:20:41|EXECUTAR ATUALIZAÇÃO DE BASE DE DADOS DO SAGE DA SE-BACABEIRA (MA) PARA PERMITIR O RECEBIMENTO DE DADOS DE MEDIDAS ANALÓGICAS E DIGITAIS E COMANDO NO CENTRO DE OPERAÇÃO DE BACKUP EM BRASÍLIA.
835867|2020-08-19 11:33:45|ATUALIZAR BASE DE DADOS DO SDSC  SAGE PARA COT LAGES
835899|2020-08-19 12:21:18|SUBSTITUIR ALIMENTAÇÃO DOS PAINÉIS TELECOM DE 125VCC PARA OS BANCOS E RETIFICADORES 48VCC.
835917|2020-08-19 13:39:21|MANUTENÇÃO GERAL NOS EQUIPAMENTOS DA UFV PARACATU NA SE PARACATU E SE PARACATU 4.
835921|2020-08-19 13:47:23|Perdas momentâneas de supervisão por tempo de reset. Inclusão e ensaio da base de dados referentes ao BC-1 138kV.
835926|2020-08-19 13:58:43|Perdas momentâneas de supervisão por tempo de reset. Verificar falha na UCC2, atualizar base de dados do SASE, incluindo pontos a serem ativados com o retrofit da proteção do circuito LT SSA-SCX 525kV.
